ID,Tweet,Replies,Retweets,Likes,Bookmarks,Views,Username,PostDate,Timestamp,Category
1860247815517274175,การชนะรางวัลเพลงแห่งปีของเอสป้าส่งผลทั้งทางตรงและทางอ้อมต่อโลกในหลายมิติ โดยเน้นไปที่การสร้างแรงบันดาลใจและการพัฒนาเศรษฐกิจของโลก ในขณะเดียวกันก็ต้องมีการจัดการด้านสิ่งแวดล้อมผนวกกับการสรรสร้างนวัตกรรมเทคโนโลยีใหม่ๆเพื่อให้เกิดความยั่งยืนในอนาคตให้กับสังคมโลกยุคใหม่,2,390,62,6,7854,nongkungroast,2024-11-23 09:03:35,2024-11-28 20:41:26,อนาคตใหม่
1774028811262206199,"ในรอบ 20 ปี การเมืองบ้านใหญ่เสื่อมลง เพราะการเมืองเชิงนโยบาย 

รับชม ""PrachaTalk EP. 25 : คนรุ่นใหม่ บ้านใหญ่ อนาคตพรรคการเมืองไทย"" : https://youtu.be/qx6vvfdTpdo?t=3680…

#เลือกตั้ง #เลือกตั้งท้องถิ่น #บ้านใหญ่ #การเมือง #prachatalk #ประชาทอล์ก",0,6,12,0,2255,prachatai,2024-03-30 11:00:03,2024-11-28 20:41:26,อนาคตใหม่
1860830727639875995,ทำงานตามปกตินั่นแหละ เพราะปกติที่เห็นมาตลอดตั้งแต่เป็นพรรคอนาคตใหม่ พรรคก้าวไกล จนมาเป็นพรรคประชาชนอยู่ในเวลานี้ก็ถือว่าเป็นพรรคการเมืองที่ทำงานหนักเพื่อประชาชนได้ประมาณหนึ่งอยู่แล้ว แถมทำงานหนักกว่าพวกฝักถั่วหัวฝ่อที่ไม่เน้นงานแต่เน้นโกยต้นทุนคืนกับรอลอกงานเพื่อนไปทำเป็นไหนๆ,0,9,18,0,277,thetukk12,2024-11-24 23:39:52,2024-11-28 20:41:26,อนาคตใหม่
1860680789027111303,"จริงที่สุด
เพราะพรรคอนาคตใหม่ถูกยุบ คณะก้าวหน้าถือกำเนิดขึ้นและประกาศจะเดินหน้าทำงานการเมืองท้องถิ่น
เท่านั้นแหละ
หูผึ่ง ตื่นตัวกันทั้งประเทศ",0,0,4,0,386,Moccafrappe1,2024-11-24 13:44:04,2024-11-28 20:41:26,อนาคตใหม่
1857260188698636638,"เมื่อคืนผมบอกให้ธนาธรออกมาชี้แจงอย่างโปร่งใสว่าเคยไปคุยอะไรกับทักษิณมาบ้าง จะได้หมดข้อครหา 

ก็มีกองเชียร์ส้มที่โลกมีแต่ขาวกับดำสงสัยในตัวผม

ผมอยากจะบอกว่าผมเป็นสมาชิกรุ่นแรกๆของพรรคส้มมาตั้งแต่พรรคอนาคตใหม่ครับ ผมทำกิจกรรมกับพรรคมามากกว่าพวกคุณเยอะ",79,198,641,32,96012,SleeplessBKKNew,2024-11-15 03:11:49,2024-11-28 20:41:26,อนาคตใหม่
1860308072364920890,ตั้งแต่อ่านมาเนี่ยอยากได้โอกาสให้กับเด็กจบใหม่กันมาก แต่ถามหน่อยมีใครเห็นใจเด็กที่มันเอาอนาคตตัวเองมาวางตรงนี้กันสักคนยัง https://x.com/suthinaja/stat/suthinaja/status/1860299551456010725…,0,10,4,0,531,2thekimlee,2024-11-23 13:03:01,2024-11-28 20:41:26,อนาคตใหม่
1861079708802375925,"ได้เวลาส่งพวกเขากลับสู่โลกนิยายกันแล้วละ 
ขอให้ทุกคนโชคดีและเส้นทางชีวิตทุกตัวละครนี้เติบโตไปอย่างสวยงาม ส่วนในชีวิตจริงพวกเราจะกลับมาพบกันใหม่ในอนาคต ขอบคุณที่ทั้งทีมงานและตัวนักแสดงที่รังสรรค์ซีรีส์เรื่องนี้มา

#JACKANDJOKERFINALEP
FINAL EP U STEAL MY HEART",0,14,14,1,213,tawann_anww,2024-11-25 16:09:14,2024-11-28 20:41:26,อนาคตใหม่
1857285118932750816,"สมาชิกวง THE BOYZ ทุกคน เตรียมเริ่มต้นเส้นทางใหม่ไปพร้อมกับค่าย ONE HUNDRED หลังสิ้นสุดสัญญา 7 ปี กับต้นสังกัดเดิม IST Entertainment 

แฟน ๆ มาร่วมเป็นกำลังใจให้กับ THE BOYZ สำหรับการเริ่มต้นกิจกรรมในต้นสังกัดใหม่ และตั้งตารอผลงานในอนาคตของหนุ่ม ๆ ไปด้วยกันนะคะ

อ่านเพิ่มเติม >",0,1661,314,26,65782,Korseries,2024-11-15 04:50:53,2024-11-28 20:41:26,อนาคตใหม่
1857438349105283455,เป็นช่วงเวลาที่มีความสุขมากๆในชีชีวิตชั้นเลย ขอให้เดกๆ ทุกคนโชคดี เดินต่อไปในเส้นทางของตัวเองอย่างราบรื่น ขอให้ได้ลองมีความรักแบบคนทั่วไป ได้ใช้ชีวิตทุกแบบที่อยากใช้ อย่าบาดเจ็บนะ อย่ากดดันตัวเอง ถ้าในอนาคตได้กลับมาเจอกันใหม่ ขอให้ชั้นตกหลุมรักแกอีกครั้งแบบไม่รส.เจบอีกแล้ว ,0,314,142,10,9905,ginalovejeg,2024-11-15 14:59:46,2024-11-28 20:41:26,อนาคตใหม่
1861438409132384543,"อ.ป๊อกนี่เสียคนแล้ว ทุกวันนี้พรรคด้อมนี่แหละไม่เหลืออัตลักษณ์แบบอนาคตใหม่แล้ว พรรคด้อมคือปชป 2แบบที่คุณอภิสิทธิเคยบอก จุดยืนหายไปหมด เด๋วจะwoke เด๋วจะคนเท่ากัน กลายเป็นพรรคเปโด SH พรรคนิยมเทคโนแครต พรรคดีแต่เถียง ไม่เคยค้านแบบคนก้าวหน้า จับจดทำแต่คอนเท้นท์

จากใจคนเคยเลือก..",29,142,217,17,19852,kookaburra555,2024-11-26 15:54:35,2024-11-28 20:41:26,อนาคตใหม่
