ID,Tweet,Cleaned_Tweet,Replies,Retweets,Likes,Bookmarks,Views,Username,PostDate,Timestamp,Hashtags,Category
1812000571953488243,คณะประมง มหาวิทยาลัยเกษตรศาสตร์ แนะ เมนูกู้แหล่งน้ำ “ขนมจีนน้ำยาปลาหมอคางดำ” #ปลาหมอคางดำ #ขนมจีนน้ำยาปลาหมอคางดำ #คณะประมง #เกษตรศาสตร์ #ไทยพับลิก้า #Thaipublica,คณะประมง มหาวิทยาลัยเกษตรศาสตร์ แนะ เมนูกู้แหล่งน้ำ “ขนมจีนน้ำยาปลาหมอคางดำ”,0,2,1,0,625,ThaiPublica,2024-07-13 05:46:16,2024-11-29 01:24:19,"['ปลาหมอคางดำ', 'ขนมจีนน้ำยาปลาหมอคางดำ', 'คณะประมง', 'เกษตรศาสตร์', 'ไทยพับลิก้า', 'Thaipublica']",เกษตรศาสตร์
1655436419555549185,คณะสัตวแพทย์ศาสตร์ มหาวิทยาลัยเกษตรศาสตร์ พร้อมต้อนรับน้องๆนิสิตใหม่เข้ามาเจอกันได้แล้วน้า เด็กๆเข้ากรุ๊ปไลน์ได้เลยนะคับบ #DEK66 #ทีมมก #สัตวแพทย์ #สัตวมก #เกษตรศาสตร์ #บางเขน #TCAS66,คณะสัตวแพทย์ศาสตร์ มหาวิทยาลัยเกษตรศาสตร์ พร้อมต้อนรับน้องๆนิสิตใหม่เข้ามาเจอกันได้แล้วน้า เด็กๆเข้ากรุ๊ปไลน์ได้เลยนะคับบ,0,8,7,1,7887,Welcomevetku,2023-05-08 04:56:13,2024-11-29 01:24:19,"['DEK66', 'ทีมมก', 'สัตวแพทย์', 'สัตวมก', 'เกษตรศาสตร์', 'บางเขน', 'TCAS66']",เกษตรศาสตร์
1798624900351135781,คณะเกษตรศาสตร์ vs คณะวนศาสตร์ ต่างกันยังไง มาดูกันเลย! . คณะเกษตรศาสตร์ เน้นเรียนเกี่ยวกับการเกษตร พืชประเภทต่าง ๆ ส่วนคณะวนศาสตร์ จะเรียนเกี่ยวกับป่าไม้และทรัพยากรธรรมชาติ . #TCASter #Dek68 #Dek69 #คณะเกษตรศาสตร์ #คณะเกษตร #คณะวนศาสตร์ #วนศาสตร์ #เกษตรศาสตร์ #กรมป่าไม้,คณะเกษตรศาสตร์ vs คณะวนศาสตร์ ต่างกันยังไง มาดูกันเลย! . คณะเกษตรศาสตร์ เน้นเรียนเกี่ยวกับการเกษตร พืชประเภทต่าง ๆ ส่วนคณะวนศาสตร์ จะเรียนเกี่ยวกับป่าไม้และทรัพยากรธรรมชาติ .,0,10,11,1,2876,TCASterApp,2024-06-06 07:56:07,2024-11-29 01:24:19,"['TCASter', 'Dek68', 'Dek69', 'คณะเกษตรศาสตร์', 'คณะเกษตร', 'คณะวนศาสตร์', 'วนศาสตร์', 'เกษตรศาสตร์', 'กรมป่าไม้']",เกษตรศาสตร์
1692169249002025375,คะแนน ???????? ใช้ยื่นที่ไหนได้บ้าง? The Planner รวบรวมมาไว้ให้ในโพสต์นี้แล้วค่ะ สมัคร #เรียนBMAT http://bit.ly/3AVZOt6 #ติวBNAT #เรียนไอเอลที่ไหนดี #กสพท #กสพท67 #cicm #มศว #จุฬา #ธรรมศาสตร์ #จุฬา #มหิดล #ทีมมศว #swu #DEK67 #DEK68 #TCAS #TCAS67 #เกษตรศาสตร์ #มข #มช,คะแนน ???????? ใช้ยื่นที่ไหนได้บ้าง? The Planner รวบรวมมาไว้ให้ในโพสต์นี้แล้วค่ะ สมัคร  http://bit.ly/3AVZOt6,0,1,0,2,1523,theplannertutor,2023-08-17 13:39:22,2024-11-29 01:24:19,"['เรียนBMAT', 'ติวBNAT', 'เรียนไอเอลที่ไหนดี', 'กสพท', 'กสพท67', 'cicm', 'มศว', 'จุฬา', 'ธรรมศาสตร์', 'จุฬา', 'มหิดล', 'ทีมมศว', 'swu', 'DEK67', 'DEK68', 'TCAS', 'TCAS67', 'เกษตรศาสตร์', 'มข', 'มช']",เกษตรศาสตร์
1657651670560698368,ถ้าเราอยากอยู่ห้องเดียวกับเพื่อนสามารถทำยังไงได้มั้งคะ พอดีทักไปถามม.แล้วเค้าบอกสุ่มอย่างเดียวเลยค่ะ แนะนำได้นะคะ #หอในนอก #ทีมมก #เกษตรบางเขน #เกษตรศาสตร์ ปี1ค่ะ,ถ้าเราอยากอยู่ห้องเดียวกับเพื่อนสามารถทำยังไงได้มั้งคะ พอดีทักไปถามม.แล้วเค้าบอกสุ่มอย่างเดียวเลยค่ะ แนะนำได้นะคะ     ปี1ค่ะ,1,0,0,0,450,bambysocute,2023-05-14 07:38:50,2024-11-29 01:24:19,"['หอในนอก', 'ทีมมก', 'เกษตรบางเขน', 'เกษตรศาสตร์']",เกษตรศาสตร์
1677017552424423430,ถ่ายไม่จำกัดจำนวน ช่วยหามุม/คิดท่า ปรับแสง/สีให้ทุกรูป Line : spypyiii โทร : 0971109027 #รับถ่ายภาพ #หาช่างภาพ #ถ่ายรูปรับปริญญา #ช่างภาพรับปริญญา #ถ่ายงานแต่ง #ช่างภาพ #ถ่ายนอกรอบ #ถ่ายรูปรับปริญญา #จุฬา #ธรรมศาสตร์ #abac #รามคำแหง #พระจอมเกล้า #มหิดล #swu #เกษตรศาสตร์,ถ่ายไม่จำกัดจำนวน ช่วยหามุม/คิดท่า ปรับแสง/สีให้ทุกรูป Line : spypyiii โทร : 0971109027,0,1,2,0,421,Spy1994P,2023-07-06 18:11:56,2024-11-29 01:24:19,"['รับถ่ายภาพ', 'หาช่างภาพ', 'ถ่ายรูปรับปริญญา', 'ช่างภาพรับปริญญา', 'ถ่ายงานแต่ง', 'ช่างภาพ', 'ถ่ายนอกรอบ', 'ถ่ายรูปรับปริญญา', 'จุฬา', 'ธรรมศาสตร์', 'abac', 'รามคำแหง', 'พระจอมเกล้า', 'มหิดล', 'swu', 'เกษตรศาสตร์']",เกษตรศาสตร์
1725822366566207556,เกิดเหตุเพลิงไหม้ ใน ม.เกษตรศาสตร์ บางเขน ระดมกำลังดับทัน รอตรวจสาเหตุต่อ https://komchadluek.net/news/crime/563628… #ไฟไหม้ #เกษตรศาสตร์ #บางเขน #ข่าว #คมชัดลึก,เกิดเหตุเพลิงไหม้ ใน ม.เกษตรศาสตร์ บางเขน ระดมกำลังดับทัน รอตรวจสาเหตุต่อ https://komchadluek.net/news/crime/563628…,0,1,0,0,748,ERnewsroom,2023-11-18 10:24:51,2024-11-29 01:24:19,"['ไฟไหม้', 'เกษตรศาสตร์', 'บางเขน', 'ข่าว', 'คมชัดลึก']",เกษตรศาสตร์
1813966182757921110,เชิญรับชมรับฟังและร่วมการเสวนาทางวิชาการ เรื่อง จบปัญหาการรุกรานแหล่งน้ำไทย จากปลาหมอคางดำ 19 ก.ค.67 เวลา 9.30 – 12.00 น.ผ่านเครือข่ายวิทยุ ม.ก. 4 ภูมิภาค อ่านต่อ https://facebook.com/share/p/Zn2LLUgzKaVQANvn/?mibextid=oFDknk… #กรมประมง #ปลาหมอสีคางดำ #วิทยุมก #เกษตรศาสตร์ #เกษตรกลางบางเขน #kuradionetwork,เชิญรับชมรับฟังและร่วมการเสวนาทางวิชาการ เรื่อง จบปัญหาการรุกรานแหล่งน้ำไทย จากปลาหมอคางดำ 19 ก.ค.67 เวลา 9.30 – 12.00 น.ผ่านเครือข่ายวิทยุ ม.ก. 4 ภูมิภาค อ่านต่อ https://facebook.com/share/p/Zn2LLUgzKaVQANvn/?mibextid=oFDknk…,0,1,2,0,291,KuSongkhla,2024-07-18 15:56:54,2024-11-29 01:24:19,"['กรมประมง', 'ปลาหมอสีคางดำ', 'วิทยุมก', 'เกษตรศาสตร์', 'เกษตรกลางบางเขน', 'kuradionetwork']",เกษตรศาสตร์
1803959975804572049,มช.ทูลเกล้าฯ ถวายปริญญาดุษฎีบัณฑิตกิตติมศักดิ์แด่กษัตริย์ภูฏาน อ่านข่าวเพิ่ม : https://thaipbs.or.th/news/content/341243… #สมเด็จพระราชาธิบดีจิกมีเคเซอร์นัมเกลวังชุก #มหาวิทยาลัยเชียงใหม่ #ปริญญาดุษฎีบัณฑิตกิตติมศักดิ์สาขาเกษตรศาสตร์ #กษัตริย์ภูฏาน #มช #เกษตรศาสตร์ #RoyalProjectofBhutan,มช.ทูลเกล้าฯ ถวายปริญญาดุษฎีบัณฑิตกิตติมศักดิ์แด่กษัตริย์ภูฏาน อ่านข่าวเพิ่ม : https://thaipbs.or.th/news/content/341243…,0,0,5,0,1109,ThaiPBSNews,2024-06-21 01:15:48,2024-11-29 01:24:19,"['สมเด็จพระราชาธิบดีจิกมีเคเซอร์นัมเกลวังชุก', 'มหาวิทยาลัยเชียงใหม่', 'ปริญญาดุษฎีบัณฑิตกิตติมศักดิ์สาขาเกษตรศาสตร์', 'กษัตริย์ภูฏาน', 'มช', 'เกษตรศาสตร์', 'RoyalProjectofBhutan']",เกษตรศาสตร์
1691777404833009925,แอดไลน์ http://bit.ly/3AVZOt6 แอดไลน์ตอนนี้ กดรับฟรีทันที!! “Universities Guide Book” ที่รวบรวม Requirement หลักสูตรอินเตอร์ขวัญใจเด็ก GEN Z เอาไว้ #DEK67 #TCAS #จุฬา #มหิดล #มข #มช #เกษตรศาสตร์ #tcas67 #ธรรมศาสตร์ #MUIC #ศิลปากร,แอดไลน์ http://bit.ly/3AVZOt6 แอดไลน์ตอนนี้ กดรับฟรีทันที!! “Universities Guide Book” ที่รวบรวม Requirement หลักสูตรอินเตอร์ขวัญใจเด็ก GEN Z เอาไว้,0,1,0,0,917,theplannertutor,2023-08-16 11:42:19,2024-11-29 01:24:19,"['DEK67', 'TCAS', 'จุฬา', 'มหิดล', 'มข', 'มช', 'เกษตรศาสตร์', 'tcas67', 'ธรรมศาสตร์', 'MUIC', 'ศิลปากร']",เกษตรศาสตร์
